Date,N+1 Up / Down,Yesterday's sign,%b of prior day close,Open Position to yesterday's range,N-1 Magnitude,N Close / N's range,10-MA
18/1/2000,1,1,0.094776056,0.070152662,0.021231225,0.280528737,-0.016908205
19/1/2000,1,2,0.151164793,0.280528737,0.014518922,0.078974455,-0.015764377
20/1/2000,0,1,0.166159663,0.068304706,0.020040091,0.143515936,-0.009047622
21/1/2000,0,1,0.096152961,0.126986402,0.033854189,0.781512636,-0.012697772
24/1/2000,2,0,0.235852997,0.840605788,0.018086057,0.480366325,-0.019390862
25/1/2000,2,0,0.340182541,0.489789084,0.017308107,0.502566337,-0.017746393
26/1/2000,1,2,0.42184147,0.644812525,0.018915004,0.024532606,-0.012482547
27/1/2000,2,2,0.508245476,0.052131785,0.020941374,0.057532317,-0.011008509
28/1/2000,2,1,0.193077776,0.095238201,0.030199023,0.265277892,-0.00920581
31/1/2000,1,2,0.262163541,0.265277892,0.010478465,0.514819499,-0.006800696
1/2/2000,1,2,0.212558874,0.514819499,0.01291204,0.069115113,-0.00939939
2/2/2000,0,1,-0.099679334,0.057420576,0.04698223,0.023351912,-0.01364142
3/2/2000,1,1,-0.050107362,0.023351912,0.017832293,0.966301619,-0.00940351
8/2/2000,1,0,0.367949202,0.949111862,0.042530505,0.06367975,-0.006887022
9/2/2000,1,1,0.233352493,0.06367975,0.033209499,0.100072532,-0.013563699
10/2/2000,1,1,0.112768343,0.052031073,0.038686709,0.054004558,-0.021381886
11/2/2000,1,1,0.036453824,0.06198275,0.038497918,0.156621541,-0.028125443
14/2/2000,2,1,0.035318104,0.156621541,0.036422263,0.029558256,-0.032793936
15/2/2000,0,1,0.005413311,0.029558256,0.048812122,0.192778088,-0.034865864
16/2/2000,0,2,0.119368431,0.219982451,0.042058723,0.507060005,-0.033624136
17/2/2000,0,0,0.225185232,0.53286322,0.024088152,0.71219447,-0.027460402
18/2/2000,1,0,0.31287623,0.71219447,0.017640219,0.707691793,-0.013474436
21/2/2000,1,0,0.668199598,0.699340225,0.113212944,0.093886873,-0.011375055
22/2/2000,2,1,0.567046334,0.084136815,0.047389961,0.362013967,-0.020458293
23/2/2000,1,1,0.369215047,0.380667709,0.068481617,0.053786959,-0.019163566
24/2/2000,1,2,0.403899923,0.075017525,0.018012741,0.079450466,-0.014316121
25/2/2000,1,1,0.216339943,0.120130367,0.033369517,0.241264655,-0.012656886
28/2/2000,0,1,0.059595379,0.241264655,0.039121731,0.218442994,-0.012114481
29/2/2000,1,1,-0.051572973,0.203353054,0.05587639,0.829666026,-0.010449176
1/3/2000,1,0,0.140892231,0.829666026,0.021948078,0.096813322,-0.013410298
2/3/2000,0,1,0.08636964,0.11394835,0.040127054,0.213822731,-0.019714581
3/3/2000,0,1,0.131072576,0.213822731,0.029610523,0.703819975,-0.027601437
6/3/2000,0,0,0.327934655,0.682511193,0.043697499,0.562092265,-0.028466123
7/3/2000,0,0,0.439886633,0.554464861,0.032019774,0.973379509,-0.01434419
8/3/2000,1,0,0.745092116,0.894471263,0.050207687,0.555254742,-0.004752176
9/3/2000,2,0,0.842167259,0.675233138,0.033953014,0.077991154,-0.003441974
10/3/2000,0,1,0.777124561,0.203593829,0.035025097,0.512004478,0.000230944
13/3/2000,0,2,0.753584654,0.531273628,0.042913309,0.593074742,0.008962036
14/3/2000,1,0,0.808283355,0.725542306,0.030472289,0.3775666,0.015917075
15/3/2000,1,0,0.875581812,0.359262083,0.052280726,0.122189936,0.016188471
16/3/2000,0,1,0.609983211,0.133343242,0.036980325,0.097069001,0.012975296
17/3/2000,1,1,0.295969376,0.194136252,0.045971755,1,0.010483132
20/3/2000,1,0,0.474075638,0.903785369,0.024089971,0.187317351,0.005894266
21/3/2000,1,1,0.063152613,0.207236331,0.036188304,0.255082215,-0.004700363
22/3/2000,0,1,0.032216246,0.364896824,0.027466341,0.187950767,-0.011445751
23/3/2000,2,1,0.082772996,0.187950767,0.021904681,1,-0.009632964
24/3/2000,0,0,0.291352146,1.162642694,0.017241116,0.544527134,-0.00632958
27/3/2000,0,2,0.358242855,0.415559339,0.013295898,0.82018653,-0.00607883
28/3/2000,1,0,0.534406932,0.82018653,0.020372259,0.98143416,-0.006026294
29/3/2000,0,0,0.986979614,0.905461899,0.031382257,0.155880502,-0.004073314
30/3/2000,1,1,0.810351769,0.155880502,0.027655466,0.623561432,0.002513528
31/3/2000,1,0,0.892290467,0.601684672,0.02361398,0.259244684,0.003677048
3/4/2000,1,1,0.736633565,0.370560906,0.01787826,0.265429051,0.000289033
5/4/2000,0,1,0.366138837,0.131453975,0.044406897,0.16495099,-0.00258871
6/4/2000,0,1,-0.027298452,0.16495099,0.046431286,1,-0.001181352
7/4/2000,2,0,0.377351835,1.084906564,0.042525484,1,0.004319429
10/4/2000,0,0,0.585944753,1.046496305,0.021626193,0.759940252,0.005150828
11/4/2000,2,2,0.598100452,0.846065294,0.017048189,0.633693247,0.005601365
12/4/2000,1,0,0.743010419,0.578516402,0.042794734,0.079742186,0.002740924
13/4/2000,0,2,0.682652771,-0.033441828,0.020265587,0.411235998,-0.000165495
14/4/2000,1,1,0.573560444,0.357675825,0.017485462,0.95446466,0.004686562
17/4/2000,0,0,1.028581271,0.371029542,0.070690067,0.236749097,0.001570479
18/4/2000,1,1,0.317327572,0.506097081,0.055567442,0.931149345,0.007183404
19/4/2000,1,0,1.143775173,1.077926859,0.095947371,0.074989031,0.023924707
20/4/2000,0,1,0.867733531,0.056734184,0.043237214,0.301127568,0.022311442
25/4/2000,1,1,0.750912693,0.098193481,0.027491652,0.642533746,0.016250942
26/4/2000,1,0,0.786446427,0.96440969,0.036045597,0.150413382,0.013625879
27/4/2000,2,1,0.649909705,0.14202402,0.050165913,0.098543684,0.007710556
28/4/2000,0,1,0.458541884,0.117029236,0.039821794,0.528676412,0.004419797
2/5/2000,1,2,0.479486043,0.846978972,0.02917261,0.70060645,0.008505682
3/5/2000,0,0,0.573860101,0.593201785,0.039458708,0.058898367,0.003445869
4/5/2000,2,1,0.381742366,-0.096513945,0.034160283,0.904357024,0.004397199
5/5/2000,1,0,0.363499373,0.74270038,0.029574949,0.702690926,0.003530049
8/5/2000,0,2,0.3508028,0.726161936,0.013037903,0.048435194,-0.00866868
9/5/2000,0,1,-0.118924298,0.038995624,0.041002274,0.604280284,-0.00940991
10/5/2000,0,0,0.118803961,0.582875103,0.021452097,0.922205871,-0.006585109
12/5/2000,0,0,0.59694196,1.169540284,0.039648565,0.973304876,0.006356164
15/5/2000,0,0,2.267858423,0.984458568,0.100133071,0.681685911,0.024643307
16/5/2000,1,0,1.255531595,0.861088087,0.055112475,0.738128188,0.035728042
17/5/2000,0,0,1.119681008,0.864789198,0.058918275,0.090396901,0.035632613
18/5/2000,1,1,0.86393293,-0.034163543,0.03727011,0.689991211,0.036136541
19/5/2000,1,0,0.856570582,0.686536695,0.061193421,0.062530238,0.038435027
22/5/2000,1,1,0.740434127,0.051821288,0.042730678,0.084376015,0.032492987
23/5/2000,1,1,0.62247289,0.107881161,0.039272027,0.160452902,0.027407259
24/5/2000,1,1,0.442258979,0.003297099,0.064621356,0.33142218,0.021422068
25/5/2000,2,1,0.28517124,0.891682281,0.031323082,0.061470752,0.01167524
26/5/2000,0,1,0.074268523,0.041850642,0.073364192,0.336014663,-0.003635486
29/5/2000,1,2,0.081822176,0.544616008,0.030556484,0.974956959,-0.013561819
30/5/2000,0,0,0.282854965,0.982441417,0.042396862,0.40228642,-0.020385854
31/5/2000,0,1,0.28270377,0.723060756,0.040520368,0.552709677,-0.022369829
1/6/2000,0,0,0.400870341,0.552709677,0.022317443,0.888922164,-0.017521477
2/6/2000,1,0,0.598010193,1.181066218,0.039199918,1,-0.01100019
5/6/2000,0,0,0.913052753,1.379967178,0.035187256,0.285188199,-0.001927839
7/6/2000,1,1,0.93787257,0.214223183,0.036602543,0.827319312,0.008774629
8/6/2000,0,0,0.972803702,0.90657781,0.040040313,0.152922844,0.017493633
9/6/2000,2,1,0.780782608,0.13167469,0.029100062,0.849834393,0.023865715
12/6/2000,2,0,0.789310732,0.85604661,0.026082509,0.618765046,0.029374062
13/6/2000,2,2,0.735085666,0.398293625,0.01244399,0.133655321,0.02551659
14/6/2000,0,2,0.667713309,0.252644623,0.02209427,0.565833194,0.023321056
15/6/2000,0,2,0.65662114,0.587500667,0.019147918,0.94416695,0.025802278
16/6/2000,0,0,0.819709898,1.013914185,0.02974608,0.749360843,0.027176955
19/6/2000,1,0,1.19461805,0.696361653,0.052404285,0.585505135,0.025539724
20/6/2000,1,0,1.115892869,0.730868966,0.036925774,0.241781567,0.01928067
21/6/2000,2,1,0.757507423,0.281210525,0.054032465,0.047798197,0.010651701
22/6/2000,2,1,0.55681673,0.2464669,0.024188681,0.345993166,0.008020026
23/6/2000,0,2,0.541619944,0.227203138,0.023188797,0.409133002,0.008322486
26/6/2000,1,2,0.503293085,0.403401543,0.026918979,0.765081719,0.008361208
27/6/2000,0,0,0.67070431,0.870973627,0.02885374,0.1333591,0.008443304
28/6/2000,1,1,0.353567381,0.1333591,0.037894076,0.791922255,0.006913731
29/6/2000,2,0,0.361005701,0.791922255,0.019264763,0.236583942,0.002261722
30/6/2000,1,1,0.008379389,0.103130401,0.036632781,0.84065677,-0.006754622
3/7/2000,0,2,0.126584186,0.969533404,0.0195002,0.651098541,-0.013413217
4/7/2000,2,1,0.11363287,0.660206796,0.022433855,0.923485431,-0.010693884
5/7/2000,1,0,0.461808544,0.93064167,0.028772496,0.443358122,-0.003515679
6/7/2000,1,2,0.444232951,-0.224712355,0.01110177,0.064490733,-0.004523141
7/7/2000,2,1,0.056324447,0.064490733,0.024950507,0.141073441,-0.008912204
10/7/2000,0,1,-0.02615094,0.2677808,0.022623658,0.222959621,-0.011836534
11/7/2000,0,2,0.12726312,0.222959621,0.022798157,0.910989035,-0.010342522
12/7/2000,1,0,0.292886406,1.110618416,0.02913751,0.900545403,-0.000654166
13/7/2000,0,0,1.473107591,1.30071109,0.077055936,0.142420022,0.00916485
14/7/2000,1,1,1.019248257,0.448181803,0.03464889,0.958698898,0.016546851
17/7/2000,1,0,1.070425873,0.968677432,0.031773213,0.280415166,0.018769993
18/7/2000,0,1,0.808950955,0.122541226,0.032165132,0.191619729,0.012437596
19/7/2000,0,1,0.651016189,0.307069514,0.022417522,0.982123765,0.012424246
20/7/2000,0,0,0.820380022,1.014815521,0.042160088,0.946829899,0.028024912
21/7/2000,0,0,1.125828232,1.147600845,0.085420424,0.580639345,0.044776273
24/7/2000,1,0,1.013226262,0.452946861,0.035356717,0.439293831,0.051580311
25/7/2000,1,0,0.943218591,0.379562595,0.070392445,0.137096027,0.046962983
26/7/2000,1,1,0.729365747,0.235272467,0.047744731,0.089757789,0.033446714
27/7/2000,1,1,0.683220469,-0.101124222,0.03997529,0.123423125,0.022340255
28/7/2000,0,1,0.540446497,0.053501972,0.030009224,0.433666755,0.012445737
31/7/2000,0,1,0.415342296,0.391381966,0.050253203,0.789141189,0.010238126
1/8/2000,1,0,0.458405453,0.915689663,0.057021228,0.995830499,0.021775753
2/8/2000,0,0,0.67258242,1.135743545,0.056008608,0.082591176,0.024092179
3/8/2000,0,1,0.550413042,0.064006085,0.038611764,0.720554466,0.012882321
4/8/2000,0,0,0.664936499,0.868043651,0.02545787,0.782370345,0.004567938
7/8/2000,1,0,0.735868168,1.121946366,0.020885189,0.687340132,0.001675765
8/8/2000,1,0,0.83924139,0.815068743,0.022631874,0.084636513,0.003321408
9/8/2000,2,1,0.659268227,0.24893297,0.029047688,0.413767921,0.004410308
10/8/2000,1,1,0.562615183,0.54439188,0.051973097,0.335041988,0.006625172
11/8/2000,1,2,0.56952074,0.40331704,0.024908657,0.18883327,0.011815798
14/8/2000,1,1,0.489588357,0.241473313,0.021357107,0.212057987,0.010113449
15/8/2000,0,1,0.199320432,0.251996165,0.028428121,0.290948047,-0.001274356
16/8/2000,0,1,-0.025641512,0.269192728,0.034938725,0.88192084,-0.004005046
17/8/2000,1,0,0.413267307,0.931701832,0.0450262,0.642370151,0.001104421
18/8/2000,1,0,0.609150716,0.761246363,0.025972057,0.204425646,-0.000832091
21/8/2000,1,1,0.526193548,0.205307133,0.023891277,0.177158765,-0.006040839
22/8/2000,1,1,0.425722379,0.395108004,0.020463132,0.449610635,-0.007556878
23/8/2000,0,1,0.375153411,0.668490579,0.018933374,0.032008357,-0.008211161
24/8/2000,2,1,0.023669758,0.074268895,0.04193728,0.216778375,-0.010127911
25/8/2000,0,0,0.204349912,0.44904194,0.039111669,0.415508898,-0.008452983
28/8/2000,1,2,0.330311341,0.414962365,0.032538312,0.712113716,-0.004291856
29/8/2000,2,0,0.447243149,0.71303585,0.019301603,0.200257428,0.000327413
30/8/2000,1,1,0.355372932,0.025715217,0.030665245,0.567694022,-0.001700984
31/8/2000,0,2,0.361372758,0.572528549,0.020273582,0.33970865,-0.009585675
1/9/2000,0,1,0.174263705,0.432537142,0.033444987,0.987187397,-0.010319951
4/9/2000,1,0,0.535009104,1.030205941,0.024733617,0.777235669,-0.004403237
5/9/2000,1,0,0.811882833,1.032191742,0.017182863,0.047456907,-0.00233074
6/9/2000,1,1,0.629276008,0.389101692,0.017992423,0.127369855,-0.00023906
7/9/2000,1,1,0.351107815,0.114807703,0.019950271,0.21016786,0.000494834
8/9/2000,1,1,0.179547683,0.178087108,0.016460219,0.266020755,-0.003674395
11/9/2000,1,1,0.023432303,0.179310876,0.0237442,0.084465419,-0.010765206
12/9/2000,2,1,-0.12690403,-0.12581684,0.041534052,0.397172596,-0.018373724
14/9/2000,0,1,-0.022351702,0.352054671,0.051454561,0.205071405,-0.021395579
15/9/2000,1,2,0.096284375,0.208277512,0.034058071,0.935186895,-0.018149113
18/9/2000,1,0,0.237087873,0.869414077,0.025910223,0.070554216,-0.021628126
19/9/2000,2,1,0.139595276,-0.009358348,0.047715787,0.768606399,-0.03114693
20/9/2000,1,1,0.187885665,0.80444965,0.037544826,0.388434793,-0.032320436
21/9/2000,1,2,0.253810138,0.282304025,0.026769671,0.195973309,-0.033936894
22/9/2000,0,1,0.151561003,0.000910209,0.051222768,0.24289862,-0.039437795
25/9/2000,0,1,0.096877122,0.500568666,0.0432638,0.955228707,-0.038107545
26/9/2000,1,0,0.239141593,0.840292063,0.025687429,0.768563357,-0.026988048
27/9/2000,2,0,0.435398909,0.669085598,0.06160447,0.200196461,-0.016891055
28/9/2000,0,1,0.405920367,0.220150209,0.016152269,0.505635782,-0.013363615
29/9/2000,0,2,0.470983658,0.61908278,0.02827778,0.83577038,-0.01195864
3/10/2000,0,0,0.699521091,0.83577038,0.021618909,0.932118348,-0.004481542
4/10/2000,1,0,0.90087232,0.932118348,0.035749009,0.329422098,0.004309338
5/10/2000,1,0,0.847545633,0.355951655,0.029837984,0.13629235,0.00324573
9/10/2000,1,1,0.665380817,0.062743418,0.038751764,0.147831216,0.00168904
10/10/2000,1,1,0.409094962,0.217157106,0.032689476,0.07714928,0.005528331
11/10/2000,2,1,0.276792291,0.080971191,0.023607853,0.20677076,0.003388162
12/10/2000,1,1,0.062280438,0.189440165,0.026922638,0.74138567,-0.004173233
13/10/2000,2,2,0.169706013,0.520292098,0.028596135,0.290936004,-0.008337459
16/10/2000,0,1,0.077952168,0.654243069,0.037792665,0.008457611,-0.009305995
17/10/2000,1,2,0.195541342,-0.202513388,0.022785718,0.886146849,-0.011084593
18/10/2000,1,0,0.271581302,0.865585117,0.025697191,0.088987999,-0.019812462
19/10/2000,0,1,0.093445866,0.109173077,0.052341016,0.294057885,-0.031167011
20/10/2000,0,1,0.027335819,0.601772375,0.062884766,0.821065252,-0.030013505
23/10/2000,1,0,0.276364706,0.893156082,0.027572266,0.421790498,-0.019952884
24/10/2000,2,0,0.368886445,0.487534863,0.031451671,0.056378806,-0.016823873
25/10/2000,2,1,0.286103491,0.057376946,0.02873178,0.10592968,-0.016400468
26/10/2000,0,2,0.286387989,-0.305740718,0.018494314,0.652836383,-0.015709974
27/10/2000,0,2,0.320036079,0.718120955,0.031216417,0.537499053,-0.012067059
30/10/2000,0,0,0.497277782,0.639965171,0.033519179,1,-0.007194677
31/10/2000,0,0,0.673836131,1.097340311,0.016736941,0.737991589,-0.004433657
1/11/2000,1,0,0.989406521,0.93784567,0.031153206,0.980348792,0.006413577
2/11/2000,0,0,1.08814236,0.990994038,0.027111612,0.216327152,0.016868939
3/11/2000,0,1,0.822218423,0.229796091,0.033304864,0.766908892,0.016987332
6/11/2000,1,0,0.927445038,1.054218551,0.029660151,0.863336851,0.016101975
7/11/2000,1,0,0.924245245,1.094283475,0.016312304,0.470403415,0.018167021
8/11/2000,2,1,0.793141316,0.488790599,0.02355562,0.113161397,0.018053415
9/11/2000,1,1,0.637847109,-0.014456534,0.03207191,0.228093524,0.016456314
10/11/2000,1,2,0.564727702,0.229485709,0.019558533,0.258876822,0.013364558
13/11/2000,0,1,0.443733101,0.041102435,0.025304719,0.019697712,0.00521054
14/11/2000,1,1,-0.043207991,0.047424318,0.036439326,1,-7.09898E-06
15/11/2000,0,0,0.251102626,1.183459569,0.025034901,0.012223972,-0.003475893
16/11/2000,2,1,0.250382364,0.005001472,0.019998222,0.981188312,-0.002150377
