Date,N+1 Close to N+1's range,Yesterday's sign,%b of prior day close,Open Position to yesterday's range,N-1 Magnitude,N Close / N's range,10-MA,N Magnitude,HSI Open (N),HSI Close (N),Close Above yesterday's DH,DL Lower than yesterday's DL,DL Higher than yesterday's DL,Deviation of 10-MA / 20-MA slopes
1/2/2000,0.9663,2.0000,0.2126,0.5148,0.0129,0.0691,-0.0094,0.0470,15600.2598,15653.8604,0.0000,1.0000,0.0000,0.7078
2/2/2000,0.0637,1.0000,-0.0997,0.0574,0.0470,0.0234,-0.0136,0.0178,15747.5596,15789.8203,0.0000,1.0000,0.0000,0.9257
3/2/2000,0.1001,1.0000,-0.0501,0.0234,0.0178,0.9663,-0.0094,0.0425,15795.5898,15968.1201,1.0000,1.0000,0.0000,1.0199
8/2/2000,0.0540,0.0000,0.3679,0.9491,0.0425,0.0637,-0.0069,0.0332,16079.8896,16228.7305,0.0000,0.0000,1.0000,0.6969
9/2/2000,0.1566,1.0000,0.2334,0.0637,0.0332,0.1001,-0.0136,0.0387,16456.8691,16819.4609,0.0000,1.0000,0.0000,0.8188
10/2/2000,0.0296,1.0000,0.1128,0.0520,0.0387,0.0540,-0.0214,0.0385,16679.7891,16845.1699,0.0000,1.0000,0.0000,1.0958
11/2/2000,0.1928,1.0000,0.0365,0.0620,0.0385,0.1566,-0.0281,0.0364,17024.3691,17380.3008,0.0000,1.0000,0.0000,1.3999
14/2/2000,0.5071,1.0000,0.0353,0.1566,0.0364,0.0296,-0.0328,0.0488,17546.4707,17188.9609,0.0000,1.0000,0.0000,1.5201
15/2/2000,0.7122,1.0000,0.0054,0.0296,0.0488,0.1928,-0.0349,0.0421,17257.3691,16688.1602,0.0000,1.0000,0.0000,1.6153
16/2/2000,0.7077,2.0000,0.1194,0.2200,0.0421,0.5071,-0.0336,0.0241,16771.0996,17043.3906,0.0000,0.0000,1.0000,1.7103
17/2/2000,0.0939,0.0000,0.2252,0.5329,0.0241,0.7122,-0.0275,0.0176,17075.9004,16981.2305,0.0000,0.0000,1.0000,1.5261
18/2/2000,0.3620,0.0000,0.3129,0.7122,0.0176,0.7077,-0.0135,0.1132,16985.3008,16599.1602,1.0000,0.0000,1.0000,0.9935
