Date, N+1 Close ,Yesterday's sign,%b of prior day close,Open Position to yesterday's range,N-1 Magnitude,N Close / N's range,10-MA,N Magnitude, HSI Open (N) , HSI Close (N) ,Close Above yesterday's DH,DL Lower than yesterday's DL,DL Higher than yesterday's DL,Deviation of 10-MA / 20-MA slopes
1/2/2000," 1,754 ",2,0.212558874,0.514819499,0.01291204,0.069115113,-0.00939939,0.04698223," 15,600 "," 15,654 ",0,1,0,0.707757578
2/2/2000," 1,723 ",1,-0.099679334,0.057420576,0.04698223,0.023351912,-0.01364142,0.017832293," 15,748 "," 15,790 ",0,1,0,0.925651416
3/2/2000," 1,789 ",1,-0.050107362,0.023351912,0.017832293,0.966301619,-0.00940351,0.042530505," 15,796 "," 15,968 ",1,1,0,1.01987736
8/2/2000," 1,749 ",0,0.367949202,0.949111862,0.042530505,0.06367975,-0.006887022,0.033209499," 16,080 "," 16,229 ",0,0,1,0.69686318
9/2/2000," 1,696 ",1,0.233352493,0.06367975,0.033209499,0.100072532,-0.013563699,0.038686709," 16,457 "," 16,819 ",0,1,0,0.818813094
10/2/2000," 1,635 ",1,0.112768343,0.052031073,0.038686709,0.054004558,-0.021381886,0.038497918," 16,680 "," 16,845 ",0,1,0,1.095784802
11/2/2000," 1,594 ",1,0.036453824,0.06198275,0.038497918,0.156621541,-0.028125443,0.036422263," 17,024 "," 17,380 ",0,1,0,1.399869942
14/2/2000," 1,521 ",1,0.035318104,0.156621541,0.036422263,0.029558256,-0.032793936,0.048812122," 17,546 "," 17,189 ",0,1,0,1.520088342
15/2/2000," 1,527 ",1,0.005413311,0.029558256,0.048812122,0.192778088,-0.034865864,0.042058723," 17,257 "," 16,688 ",0,1,0,1.615290727
16/2/2000," 1,547 ",2,0.119368431,0.219982451,0.042058723,0.507060005,-0.033624136,0.024088152," 16,771 "," 17,043 ",0,0,1,1.710283276
17/2/2000," 1,565 ",0,0.225185232,0.53286322,0.024088152,0.71219447,-0.027460402,0.017640219," 17,076 "," 16,981 ",0,0,1,1.52606806
18/2/2000," 1,689 ",0,0.31287623,0.71219447,0.017640219,0.707691793,-0.013474436,0.113212944," 16,985 "," 16,599 ",1,0,1,0.99350626
21/2/2000," 1,637 ",0,0.668199598,0.699340225,0.113212944,0.093886873,-0.011375055,0.047389961," 16,413 "," 16,322 ",0,0,1,1.100881386
22/2/2000," 1,567 ",1,0.567046334,0.084136815,0.047389961,0.362013967,-0.020458293,0.068481617," 16,295 "," 16,255 ",0,1,0,1.538095871
23/2/2000," 1,569 ",1,0.369215047,0.380667709,0.068481617,0.053786959,-0.019163566,0.018012741," 16,314 "," 16,377 ",0,0,1,1.182930237
24/2/2000," 1,534 ",2,0.403899923,0.075017525,0.018012741,0.079450466,-0.014316121,0.033369517," 16,513 "," 17,059 ",0,1,0,0.792403776
25/2/2000," 1,494 ",1,0.216339943,0.120130367,0.033369517,0.241264655,-0.012656886,0.039121731," 17,280 "," 17,201 ",0,1,0,0.606611981
28/2/2000," 1,430 ",1,0.059595379,0.241264655,0.039121731,0.218442994,-0.012114481,0.05587639," 17,435 "," 16,984 ",0,1,0,0.525476375
29/2/2000," 1,454 ",1,-0.051572973,0.203353054,0.05587639,0.829666026,-0.010449176,0.021948078," 17,140 "," 17,169 ",0,0,1,0.448285639
1/3/2000," 1,411 ",0,0.140892231,0.829666026,0.021948078,0.096813322,-0.013410298,0.040127054," 17,267 "," 16,844 ",0,1,0,0.55882827
2/3/2000," 1,396 ",1,0.08636964,0.11394835,0.040127054,0.213822731,-0.019714581,0.029610523," 16,996 "," 16,937 ",0,1,0,0.83022911
3/3/2000," 1,435 ",1,0.131072576,0.213822731,0.029610523,0.703819975,-0.027601437,0.043697499," 16,904 "," 17,285 ",1,0,1,1.361320532
6/3/2000," 1,459 ",0,0.327934655,0.682511193,0.043697499,0.562092265,-0.028466123,0.032019774," 17,501 "," 17,759 ",1,0,1,1.451998296
7/3/2000," 1,530 ",0,0.439886633,0.554464861,0.032019774,0.973379509,-0.01434419,0.050207687," 17,656 "," 17,865 ",1,0,1,0.817946189
8/3/2000," 1,535 ",0,0.745092116,0.894471263,0.050207687,0.555254742,-0.004752176,0.033953014," 17,688 "," 17,951 ",1,0,1,0.386768421
