Date,N+1 Close / N Close,Yesterday's sign,%b of prior day close,Open Position to yesterday's range,N-1 Magnitude,N Close / N's range,10-MA,N Magnitude, HSI Open (N) , HSI Close (N) ,Close Above yesterday's DH,DL Lower than yesterday's DL,DL Higher than yesterday's DL,Deviation of 10-MA / 20-MA slopes
1/2/2000,0.038,2.000,0.213,0.515,0.013,0.069,-0.009,0.047,15600.260,15653.860,0.000,1.000,0.000,0.708
2/2/2000,-0.022,1.000,-0.100,0.057,0.047,0.023,-0.014,0.018,15747.560,15789.820,0.000,1.000,0.000,0.926
3/2/2000,-0.030,1.000,-0.050,0.023,0.018,0.966,-0.009,0.043,15795.590,15968.120,1.000,1.000,0.000,1.020
8/2/2000,-0.036,0.000,0.368,0.949,0.043,0.064,-0.007,0.033,16079.890,16228.730,0.000,0.000,1.000,0.697
9/2/2000,-0.025,1.000,0.233,0.064,0.033,0.100,-0.014,0.039,16456.869,16819.461,0.000,1.000,0.000,0.819
10/2/2000,-0.046,1.000,0.113,0.052,0.039,0.054,-0.021,0.038,16679.789,16845.170,0.000,1.000,0.000,1.096
11/2/2000,0.004,1.000,0.036,0.062,0.038,0.157,-0.028,0.036,17024.369,17380.301,0.000,1.000,0.000,1.400
14/2/2000,0.013,1.000,0.035,0.157,0.036,0.030,-0.033,0.049,17546.471,17188.961,0.000,1.000,0.000,1.520
15/2/2000,0.012,1.000,0.005,0.030,0.049,0.193,-0.035,0.042,17257.369,16688.160,0.000,1.000,0.000,1.615
16/2/2000,0.079,2.000,0.119,0.220,0.042,0.507,-0.034,0.024,16771.100,17043.391,0.000,0.000,1.000,1.710
17/2/2000,-0.031,0.000,0.225,0.533,0.024,0.712,-0.027,0.018,17075.900,16981.230,0.000,0.000,1.000,1.526
18/2/2000,-0.043,0.000,0.313,0.712,0.018,0.708,-0.013,0.113,16985.301,16599.160,1.000,0.000,1.000,0.994
21/2/2000,0.001,0.000,0.668,0.699,0.113,0.094,-0.011,0.047,16412.631,16322.370,0.000,0.000,1.000,1.101
