Date,N+1 Close / N Close,Yesterday's sign,%b of prior day close,Open Position to yesterday's range,N-1 Magnitude,N Close / N's range,10-MA,N Magnitude,HSI Open (N),HSI Close (N),Close Above yesterday's DH,DL Lower than yesterday's DL,DL Higher than yesterday's DL,Deviation of 10-MA / 20-MA slopes,"BB Divert or converge
(3-day)","BB Divert or converge
(5-day)",BB10 Upper Slope (3-day),BB10 Lower Slope (3-day),Stock Crash,Change RMB / USD
1/2/2000,0.03785,2.00000,0.21256,0.51482,0.01291,0.06912,-0.00940,0.04698,15600.25977,15653.86035,0.00000,1.00000,0.00000,0.70776,0.44594,-0.02574,0.00164,-0.02100,-0.03192,1
2/2/2000,-0.02238,1.00000,-0.09968,0.05742,0.04698,0.02335,-0.01364,0.01783,15747.55957,15789.82031,0.00000,1.00000,0.00000,0.92565,0.99383,0.65532,0.00988,-0.03831,-0.05202,1
3/2/2000,-0.02993,1.00000,-0.05011,0.02335,0.01783,0.96630,-0.00940,0.04253,15795.58984,15968.12012,1.00000,1.00000,0.00000,1.01988,0.58465,1.29130,0.01139,-0.03176,-0.07433,1
8/2/2000,-0.03614,0.00000,0.36795,0.94911,0.04253,0.06368,-0.00689,0.03321,16079.88965,16228.73047,0.00000,0.00000,1.00000,0.69686,0.25872,1.50968,0.00536,-0.02037,-0.12551,1
9/2/2000,-0.02505,1.00000,0.23335,0.06368,0.03321,0.10007,-0.01356,0.03869,16456.86914,16819.46094,0.00000,1.00000,0.00000,0.81881,0.17065,0.85506,-0.00346,-0.02491,-0.09964,1
10/2/2000,-0.04601,1.00000,0.11277,0.05203,0.03869,0.05400,-0.02138,0.03850,16679.78906,16845.16992,0.00000,1.00000,0.00000,1.09578,0.30586,0.64372,-0.00250,-0.04273,-0.06068,1
11/2/2000,0.00400,1.00000,0.03645,0.06198,0.03850,0.15662,-0.02813,0.03642,17024.36914,17380.30078,0.00000,1.00000,0.00000,1.39987,0.28553,0.50491,-0.00792,-0.05132,-0.02366,1
14/2/2000,0.01337,1.00000,0.03532,0.15662,0.03642,0.02956,-0.03279,0.04881,17546.47070,17188.96094,0.00000,1.00000,0.00000,1.52009,0.33077,0.73781,-0.00533,-0.06515,0.02854,1
15/2/2000,0.01167,1.00000,0.00541,0.02956,0.04881,0.19278,-0.03487,0.04206,17257.36914,16688.16016,0.00000,1.00000,0.00000,1.61529,0.27498,0.63903,-0.00900,-0.06592,0.07276,1
16/2/2000,0.07929,2.00000,0.11937,0.21998,0.04206,0.50706,-0.03362,0.02409,16771.09961,17043.39063,0.00000,0.00000,1.00000,1.71028,0.00511,0.33757,-0.02971,-0.03853,-0.00148,1
17/2/2000,-0.03111,0.00000,0.22519,0.53286,0.02409,0.71219,-0.02746,0.01764,17075.90039,16981.23047,0.00000,0.00000,1.00000,1.52607,-0.08385,0.16808,-0.03352,-0.01975,0.01344,1
18/2/2000,-0.04279,0.00000,0.31288,0.71219,0.01764,0.70769,-0.01347,0.11321,16985.30078,16599.16016,1.00000,0.00000,1.00000,0.99351,-0.10577,-0.10120,-0.02314,-0.00125,-0.01955,1
21/2/2000,0.00108,0.00000,0.66820,0.69934,0.11321,0.09389,-0.01138,0.04739,16412.63086,16322.37012,0.00000,0.00000,1.00000,1.10088,-0.16270,-0.23290,-0.02678,0.00797,-0.08744,1
22/2/2000,-0.02193,1.00000,0.56705,0.08414,0.04739,0.36201,-0.02046,0.06848,16294.94043,16255.16992,0.00000,1.00000,0.00000,1.53810,-0.31353,-0.38613,-0.04855,0.01429,-0.07010,1
23/2/2000,-0.02590,1.00000,0.36922,0.38067,0.06848,0.05379,-0.01916,0.01801,16313.95996,16376.79004,0.00000,0.00000,1.00000,1.18293,-0.44448,-0.53486,-0.05642,0.02601,-0.08689,1
24/2/2000,-0.04332,2.00000,0.40390,0.07502,0.01801,0.07945,-0.01432,0.03337,16512.57031,17058.66016,0.00000,1.00000,0.00000,0.79240,-0.39304,-0.58334,-0.04051,0.01608,-0.07874,1
25/2/2000,0.01731,1.00000,0.21634,0.12013,0.03337,0.24126,-0.01266,0.03912,17279.50977,17200.98047,0.00000,1.00000,0.00000,0.60661,-0.06960,-0.48314,-0.01559,-0.00938,-0.06014,1
